,trigram,trigram_d_freq,trigram_r_freq,trigram_total
17954,armenian genocid one,1,1,2
17955,armenian men women,4,1,5
17956,armi achiev medal,16,22,38
17957,armi act valor,1,1,2
17958,armi air corp,45,54,99
17959,armi air forc,18,50,68
17960,armi air nation,2,1,3
17961,armi air servic,1,1,2
17962,armi al qaeda,1,4,5
17963,armi ammunit plant,2,1,3
17964,armi armi nation,3,1,4
17965,armi armi reserv,2,3,5
17966,armi assign squadron,1,1,2
17967,armi assist secretari,1,1,2
17968,armi aviat associ,1,1,2
17969,armi award intend,1,1,2
17970,armi base fort,1,1,2
17971,armi behalf grate,1,1,2
17972,armi brigad combat,1,2,3
17973,armi came back,2,1,3
17974,armi chief legisl,1,1,2
17975,armi chief staff,8,5,13
17976,armi civil work,1,1,2
17977,armi coast guard,1,1,2
17978,armi command gener,1,6,7
17979,armi commend award,1,1,2
17980,armi commend medal,17,28,45
17981,armi complet basic,2,2,4
17982,armi congression budget,3,1,4
17983,armi congression fellow,3,1,4
17984,armi congression fellowship,1,1,2
17985,armi contract command,1,4,5
17986,armi corp clear,2,1,3
17987,armi corp engin,150,87,237
17988,armi corp epa,3,2,5
17989,armi corp land,2,1,3
17990,armi corp project,10,8,18
17991,armi corp recreat,1,1,2
17992,armi corp wac,1,1,2
17993,armi everi year,1,1,2
17994,armi financi manag,3,5,8
17995,armi gen ray,1,1,2
17996,armi good conduct,5,12,17
17997,armi green beret,2,2,4
17998,armi hous liaison,1,3,4
17999,armi human resourc,1,1,2
18000,armi individu serv,1,1,2
18001,armi infantri divis,2,1,3
18002,armi infantri offic,1,2,3
18003,armi john mchugh,1,4,5
18004,armi judg advoc,2,1,3
18005,armi korean war,9,2,11
18006,armi legisl liaison,1,4,5
18007,armi lieuten colonel,3,7,10
18008,armi lieuten gener,1,2,3
18009,armi mani year,1,1,2
18010,armi marin corp,4,4,8
18011,armi master sergeant,2,1,3
18012,armi medic center,13,20,33
18013,armi medic corp,3,2,5
18014,armi medic depart,3,3,6
18015,armi militari polic,3,2,5
18016,armi mr speaker,2,5,7
18017,armi nation guard,66,51,117
18018,armi navi air,6,9,15
18019,armi navi marin,4,5,9
18020,armi nurs corp,5,3,8
18021,armi occup medal,4,1,5
18022,armi offic chief,1,1,2
18023,armi ranger school,1,1,2
18024,armi red kettl,1,1,2
18025,armi reserv compon,4,7,11
18026,armi reserv congression,1,2,3
18027,armi reserv retir,1,2,3
18028,armi reserv school,1,1,2
18029,armi reserv serv,5,1,6
18030,armi reserv year,1,2,3
18031,armi review board,1,1,2
18032,armi second lieuten,1,2,3
18033,armi secur agenc,1,1,2
18034,armi senior leader,1,3,4
18035,armi septemb assign,1,1,2
18036,armi serv countri,3,4,7
18037,armi serv distinct,2,3,5
18038,armi serv germani,1,1,2
18039,armi serv mani,1,1,2
18040,armi serv nation,1,1,2
18041,armi servic medal,1,1,2
18042,armi servic ribbon,6,11,17
18043,armi signal corp,5,4,9
18044,armi soon depart,1,1,2
18045,armi special forc,2,6,8
18046,armi special oper,1,3,4
18047,armi special train,1,1,2
18048,armi staff sergeant,3,6,9
18049,armi tank automot,1,1,2
18050,armi time armi,1,1,2
18051,armi trace root,1,1,2
18052,armi tuition assist,1,2,3
18053,armi two year,2,1,3
18054,armi unit state,5,7,12
18055,armi us armi,2,1,3
18056,armi vietnam war,1,2,3
18057,armi war colleg,4,7,11
18058,armi warrant offic,1,1,2
18059,armi went back,1,1,2
18060,armi wish wife,1,2,3
18061,armi world war,20,8,28
18062,armi year ago,1,3,4
18063,armi year reach,1,1,2
18064,armi year servic,1,1,2
18065,armi young age,1,1,2
18066,armi young men,1,2,3
18067,armor battalion ft,1,1,2
18068,armor brigad combat,1,1,2
18069,armor cavalri regiment,1,4,5
18070,armor commun equip,1,1,2
18071,armor divis fort,2,2,4
18072,armor vehicl tank,1,2,3
18073,armstrong flight research,4,8,12
18074,aroostook medic center,2,1,3
18075,around anoth year,1,1,2
18076,around billion billion,1,1,2
18077,around billion state,2,1,3
18078,around bottom line,1,1,2
18079,around capitol build,1,1,2
18080,around capitol hill,1,5,6
18081,around chain command,1,1,2
18082,around chamber see,2,1,3
18083,around chicagoland area,1,1,2
18084,around clock protect,1,2,3
18085,around commonsens solut,3,1,4
18086,around congress unit,1,1,2
18087,around corner take,1,1,2
18088,around could nt,1,2,3
18089,around countri actual,1,1,2
18090,around countri advoc,1,1,2
18091,around countri alreadi,1,1,2
18092,around countri also,5,1,6
18093,around countri appli,4,1,5
18094,around countri around,4,3,7
18095,around countri ask,2,3,5
18096,around countri attempt,1,1,2
18097,around countri back,1,1,2
18098,around countri believ,1,1,2
18099,around countri bill,5,1,6
18100,around countri bodi,1,1,2
18101,around countri call,2,2,4
18102,around countri campaign,1,1,2
18103,around countri clear,1,1,2
18104,around countri colleagu,1,2,3
18105,around countri come,3,6,9
18106,around countri congress,2,1,3
18107,around countri continu,3,3,6
18108,around countri could,3,1,4
18109,around countri cut,2,1,3
18110,around countri democrat,1,1,2
18111,around countri depend,2,1,3
18112,around countri deserv,1,1,2
18113,around countri engag,1,1,2
18114,around countri even,1,3,4
18115,around countri everi,2,3,5
18116,around countri exampl,1,1,2
18117,around countri extend,2,1,3
18118,around countri face,3,2,5
18119,around countri fail,1,1,2
18120,around countri famili,2,1,3
18121,around countri find,1,2,3
18122,around countri first,4,1,5
18123,around countri frankli,1,1,2
18124,around countri get,4,2,6
18125,around countri go,5,6,11
18126,around countri good,1,1,2
18127,around countri grow,1,2,3
18128,around countri happen,1,2,3
18129,around countri hear,1,2,3
18130,around countri help,8,1,9
18131,around countri hope,4,1,5
18132,around countri import,2,1,3
18133,around countri includ,3,3,6
18134,around countri interest,1,2,3
18135,around countri job,2,1,3
18136,around countri join,2,2,4
18137,around countri know,4,5,9
18138,around countri last,1,1,2
18139,around countri least,1,2,3
18140,around countri let,1,3,4
18141,around countri like,1,1,2
18142,around countri look,5,1,6
18143,around countri louisiana,1,1,2
18144,around countri make,3,4,7
18145,around countri mani,6,4,10
18146,around countri may,1,2,3
18147,around countri member,1,1,2
18148,around countri municip,1,1,2
18149,around countri need,7,6,13
18150,around countri nt,4,1,5
18151,around countri one,5,2,7
18152,around countri overload,1,1,2
18153,around countri particularli,2,1,3
18154,around countri pay,1,2,3
18155,around countri peopl,6,9,15
18156,around countri perhap,1,2,3
18157,around countri play,1,2,3
18158,around countri pleas,1,1,2
18159,around countri point,2,1,3
18160,around countri polici,1,2,3
18161,around countri proud,1,1,2
18162,around countri put,4,1,5
18163,around countri quit,1,1,2
18164,around countri recent,1,3,4
18165,around countri rememb,1,2,3
18166,around countri repres,1,1,2
18167,around countri republican,2,2,4
18168,around countri right,2,3,5
18169,around countri run,1,1,2
18170,around countri said,1,2,3
18171,around countri say,1,5,6
18172,around countri school,1,1,2
18173,around countri see,2,6,8
18174,around countri seek,2,1,3
18175,around countri sent,1,1,2
18176,around countri septemb,1,1,2
18177,around countri sign,1,1,2
18178,around countri situat,1,1,2
18179,around countri start,1,1,2
18180,around countri state,2,1,3
18181,around countri struggl,1,1,2
18182,around countri summer,1,1,2
18183,around countri support,9,1,10
18184,around countri take,2,2,4
18185,around countri talk,4,4,8
18186,around countri thank,1,1,2
18187,around countri today,2,1,3
18188,around countri train,1,1,2
18189,around countri tri,1,2,3
18190,around countri two,2,2,4
18191,around countri urg,1,1,2
18192,around countri veteran,1,3,4
18193,around countri virtual,1,1,2
18194,around countri want,6,4,10
18195,around countri watch,1,1,2
18196,around countri week,2,2,4
18197,around countri well,3,1,4
18198,around countri work,10,3,13
18199,around countri world,1,2,3
18200,around countri worri,3,2,5
18201,around countri would,3,6,9
18202,around courtyard bea,1,1,2
18203,around crop insur,1,1,2
18204,around currituck nation,1,1,2
18205,around debt ceil,3,4,7
18206,around debt limit,3,3,6
18207,around decad ago,1,1,2
18208,around dinner tabl,2,3,5
18209,around edg nt,2,1,3
18210,around even though,1,2,3
18211,around everi corner,1,1,2
18212,around everi singl,1,1,2
18213,around everi year,1,1,2
18214,around futur gener,1,2,3
18215,around globe air,2,1,3
18216,around globe creation,1,1,2
18217,around globe includ,4,2,6
18218,around globe look,1,2,3
18219,around globe met,1,1,2
18220,around globe mr,4,1,5
18221,around globe must,3,1,4
18222,around globe nation,1,2,3
18223,around globe need,1,1,2
18224,around globe presid,1,2,3
18225,around globe thank,1,1,2
18226,around globe today,1,2,3
18227,around globe urg,1,1,2
18228,around globe veteran,1,1,2
18229,around globe would,1,2,3
18230,around go home,1,1,2
18231,around great countri,1,3,4
18232,around great lake,2,1,3
18233,around health care,5,1,6
18234,around holiday season,1,1,2
18235,around home state,8,3,11
18236,around hour week,2,1,3
18237,around hous repres,1,2,3
18238,around kitchen tabl,9,10,19
18239,around labor day,1,1,2
18240,around last day,1,1,2
18241,around last year,1,3,4
18242,around law enforc,2,1,3
18243,around law remain,1,1,2
18244,around let go,1,1,2
18245,around littl bit,8,1,9
18246,around long enough,3,3,6
18247,around long long,1,1,2
18248,around long time,14,12,26
18249,around look forward,1,2,3
18250,around look like,1,1,2
18251,around lot time,1,1,2
18252,around make sure,1,3,4
18253,around million acr,1,1,2
18254,around million job,1,1,2
18255,around million peopl,1,4,5
18256,around mr presid,1,2,3
18257,around mr speaker,1,6,7
18258,around much better,1,2,3
18259,around nation mani,1,2,3
18260,around nation park,4,2,6
18261,around nation secur,1,1,2
18262,around neighborhood get,1,1,2
18263,around next year,1,1,2
18264,around nt want,1,1,2
18265,around one person,1,1,2
18266,around outsid keep,1,1,2
18267,around pass anoth,1,1,2
18268,around peopl sometim,1,1,2
18269,around peopl work,1,2,3
18270,around percent gdp,3,1,4
18271,around percent gross,2,1,3
18272,around percent howev,1,1,2
18273,around percent includ,1,1,2
18274,around percent total,1,1,2
18275,around percent year,1,1,2
18276,around place nt,1,1,2
18277,around privat live,1,1,2
18278,around regular order,2,2,4
18279,around say go,2,1,3
18280,around say let,1,1,2
18281,around say well,2,1,3
18282,around say ye,1,1,2
18283,around see mani,1,1,2
18284,around see much,1,1,2
18285,around senat republican,4,2,6
18286,around sever year,1,2,3
18287,around someth import,1,1,2
18288,around someth like,1,1,2
18289,around special interest,1,1,2
18290,around state countri,2,1,3
18291,around state includ,2,1,3
18292,around state nation,1,1,2
18293,around tabl say,1,1,2
18294,around tabl talk,2,2,4
18295,around take pictur,1,1,2
18296,around tell us,1,1,2
18297,around time year,1,1,2
18298,around tri figur,2,1,3
18299,around tri find,1,1,2
18300,around tri get,2,1,3
18301,around unit state,27,22,49
18302,around us capitol,1,1,2
18303,around us mr,1,1,2
18304,around us one,1,1,2
18305,around us right,1,1,2
18306,around us senat,1,1,2
18307,around us time,2,1,3
18308,around use call,1,1,2
18309,around vote bill,1,1,2
18310,around whole countri,1,1,2
18311,around whole lot,1,1,2
18312,around women children,1,1,2
18313,around world access,3,2,5
18314,around world addit,1,2,3
18315,around world air,1,1,2
18316,around world also,10,10,20
18317,around world amend,1,3,4
18318,around world america,2,5,7
18319,around world american,4,4,8
18320,around world anoth,1,1,2
18321,around world appreci,1,3,4
18322,around world ask,2,3,5
18323,around world becam,1,1,2
18324,around world becom,1,1,2
18325,around world begin,1,1,2
18326,around world believ,3,1,4
18327,around world benefit,1,2,3
18328,around world better,2,1,3
18329,around world bill,2,2,4
18330,around world bring,4,2,6
18331,around world came,2,1,3
18332,around world celebr,2,1,3
18333,around world certainli,3,1,4
18334,around world challeng,3,1,4
18335,around world chang,2,1,3
18336,around world choos,1,1,2
18337,around world collect,1,1,2
18338,around world come,3,8,11
18339,around world commun,3,1,4
18340,around world compani,1,2,3
18341,around world concern,2,1,3
18342,around world continu,5,2,7
18343,around world contribut,3,1,4
18344,around world could,1,1,2
18345,around world countri,5,4,9
18346,around world coupl,1,1,2
18347,around world cours,1,1,2
18348,around world creat,3,1,4
18349,around world day,3,1,4
18350,around world decad,1,1,2
18351,around world deliv,1,1,2
18352,around world depend,3,1,4
18353,around world develop,3,2,5
18354,around world diagnos,1,1,2
18355,around world difficult,1,1,2
18356,around world earlier,1,1,2
18357,around world educ,2,2,4
18358,around world engag,1,2,3
18359,around world enjoy,1,1,2
18360,around world ensur,3,1,4
18361,around world especi,3,4,7
18362,around world even,4,2,6
18363,around world ever,1,1,2
18364,around world everi,3,3,6
18365,around world exampl,5,2,7
18366,around world experi,2,1,3
18367,around world fact,1,1,2
18368,around world fail,1,1,2
18369,around world fair,1,1,2
18370,around world final,1,1,2
18371,around world flood,1,1,2
18372,around world found,2,1,3
18373,around world friend,1,1,2
18374,around world gather,1,1,2
18375,around world get,1,2,3
18376,around world global,1,1,2
18377,around world go,7,7,14
18378,around world govern,1,2,3
18379,around world great,2,2,4
18380,around world halfway,1,1,2
18381,around world happen,2,3,5
18382,around world hear,2,2,4
18383,around world help,2,2,4
18384,around world home,4,2,6
18385,around world hope,4,2,6
18386,around world import,2,1,3
18387,around world includ,17,12,29
18388,around world intern,1,1,2
18389,around world ioc,1,1,2
18390,around world keep,1,5,6
18391,around world know,16,5,21
18392,around world known,1,1,2
18393,around world labor,1,1,2
18394,around world larg,1,1,2
18395,around world let,5,4,9
18396,around world like,1,4,5
18397,around world live,4,3,7
18398,around world look,6,6,12
18399,around world make,2,5,7
18400,around world mani,5,5,10
18401,around world marin,2,1,3
18402,around world may,3,2,5
18403,around world meet,2,1,3
18404,around world member,2,1,3
18405,around world memori,1,1,2
18406,around world men,1,2,3
18407,around world middl,1,1,2
18408,around world mr,11,5,16
18409,around world must,6,1,7
18410,around world nation,4,2,6
18411,around world need,5,6,11
18412,around world never,2,2,4
18413,around world nt,5,5,10
18414,around world number,2,2,4
18415,around world observ,1,1,2
18416,around world often,1,1,2
18417,around world one,2,5,7
18418,around world opportun,1,1,2
18419,around world other,1,1,2
18420,around world particularli,5,5,10
18421,around world past,4,1,5
18422,around world peopl,3,7,10
18423,around world percent,1,2,3
18424,around world place,1,1,2
18425,around world play,2,1,3
18426,around world pleas,1,1,2
18427,around world prepar,1,1,2
18428,around world presid,6,3,9
18429,around world probabl,1,1,2
18430,around world produc,1,2,3
18431,around world protect,3,2,5
18432,around world proud,3,1,4
18433,around world provid,2,2,4
18434,around world put,3,2,5
18435,around world re,2,3,5
18436,around world reach,1,1,2
18437,around world read,1,1,2
18438,around world realli,1,1,2
18439,around world recogn,1,1,2
18440,around world remain,2,1,3
18441,around world repres,2,1,3
18442,around world retir,1,2,3
18443,around world right,2,5,7
18444,around world risk,1,1,2
18445,around world roughli,1,1,2
18446,around world sad,1,1,2
18447,around world say,6,6,12
18448,around world see,4,8,12
18449,around world seen,2,3,5
18450,around world sell,1,1,2
18451,around world senat,4,1,5
18452,around world send,2,1,3
18453,around world share,3,1,4
18454,around world show,1,2,3
18455,around world sinc,2,2,4
18456,around world someth,1,2,3
18457,around world specif,1,1,2
18458,around world stand,1,2,3
18459,around world state,1,1,2
18460,around world still,2,2,4
18461,around world stop,1,1,2
18462,around world studi,1,1,2
18463,around world success,2,1,3
18464,around world support,3,3,6
18465,around world sure,3,3,6
18466,around world symbol,1,1,2
18467,around world take,4,5,9
18468,around world taken,3,1,4
18469,around world tell,2,2,4
18470,around world thank,4,5,9
18471,around world thing,1,1,2
18472,around world think,4,5,9
18473,around world three,1,1,2
18474,around world throughout,1,1,2
18475,around world time,6,5,11
18476,around world today,10,8,18
18477,around world touch,1,1,2
18478,around world trade,2,1,3
18479,around world travel,1,4,5
18480,around world tri,4,3,7
18481,around world troubl,1,1,2
18482,around world understand,3,1,4
18483,around world unit,7,7,14
18484,around world urg,4,5,9
18485,around world usaid,1,1,2
18486,around world use,1,2,3
18487,around world variou,2,2,4
18488,around world volunt,2,1,3
18489,around world want,3,17,20
18490,around world war,2,4,6
18491,around world washington,1,1,2
18492,around world watch,1,3,4
18493,around world week,2,1,3
18494,around world well,7,1,8
18495,around world whether,4,1,5
18496,around world wish,1,1,2
18497,around world without,2,1,3
18498,around world women,1,1,2
18499,around world work,3,3,6
18500,around world world,1,3,4
18501,around world would,6,10,16
18502,around world year,6,4,10
18503,around world yearn,1,2,3
18504,around world yet,3,1,4
18505,around world yield,2,2,4
18506,around would like,1,2,3
18507,around would say,2,1,3
18508,around year ago,1,1,2
18509,around yield floor,1,1,2
18510,arpad szallar eugen,1,1,2
18511,arrang special order,1,2,3
18512,arrang today special,1,1,2
18513,array charit organ,1,1,2
18514,array crise sinc,1,2,3
18515,array higher educ,1,2,3
18516,array natur beauti,1,1,2
18517,array public servic,1,1,2
18518,array small busi,1,1,2
18519,array support servic,1,1,2
18520,arrest domest violenc,3,1,4
18521,arrest face trial,1,1,2
18522,arrest harass member,1,1,2
18523,arrest put jail,1,3,4
18524,arrest put prison,1,1,2
18525,arrest seven peopl,1,1,2
18526,arrest terror charg,1,1,2
18527,arrest warrant sudan,1,1,2
18528,arriv contest question,2,4,6
18529,arriv daca program,6,3,9
18530,arriv elli island,1,1,2
18531,arriv lo angel,1,1,2
18532,arriv new york,6,1,7
18533,arriv program known,3,1,4
18534,arriv sacramento juli,1,1,2
18535,arriv scene found,2,2,4
18536,arriv senat floor,1,1,2
18537,arriv southern border,1,1,2
18538,arriv unit state,16,4,20
18539,arriv year ago,3,2,5
18540,arriv yield floor,2,1,3
18541,arrow david sling,1,1,2
18542,arroyo ronald britton,1,1,2
18543,arsen mercuri lead,1,1,2
18544,art archiv mfaa,1,1,2
18545,art art council,1,1,2
18546,art art educ,2,1,3
18547,art bookbind apprentic,1,1,2
18548,art center continu,1,1,2
18549,art central florida,2,1,3
18550,art competit artist,2,1,3
18551,art council art,1,1,2
18552,art degre busi,1,1,2
18553,art degre histori,1,1,2
18554,art educ nation,1,1,2
18555,art high school,3,2,5
18556,art kennedi center,1,1,2
18557,art master scienc,1,1,2
18558,art mr speaker,4,2,6
18559,art museum ymca,1,1,2
18560,art stolen nazi,1,1,2
18561,art unit state,2,2,4
18562,arthur cush robert,1,1,2
18563,arthur donald carlstrom,1,1,2
18564,arthur engler john,1,1,2
18565,arthur laffer reagan,1,1,2
18566,arthur trevarton junior,2,1,3
18567,arthur tx refineri,2,1,3
18568,articl also describ,1,1,2
18569,articl appear new,1,1,2
18570,articl appear washington,1,1,2
18571,articl articl ii,2,8,10
18572,articl ask unanim,2,2,4
18573,articl associ press,1,4,5
18574,articl came today,1,2,3
18575,articl congress articl,1,2,3
18576,articl date august,1,1,2
18577,articl date may,1,1,2
18578,articl goe report,1,2,3
18579,articl goe say,2,38,40
18580,articl huffington post,1,2,3
18581,articl human right,1,1,2
18582,articl ii author,2,2,4
18583,articl ii constitut,3,6,9
18584,articl ii section,1,23,24
18585,articl iii constitut,1,1,2
18586,articl iii court,6,21,27
18587,articl iii feder,2,2,4
18588,articl iii judg,6,8,14
18589,articl iii judici,1,3,4
18590,articl local newspap,1,2,3
18591,articl mr speaker,1,1,2
18592,articl new york,11,13,24
18593,articl print record,24,29,53
18594,articl publish dr,1,1,2
18595,articl read weekend,1,1,2
18596,articl refer earlier,1,1,2
18597,articl said mani,1,1,2
18598,articl said white,1,1,2
18599,articl say congress,1,1,2
18600,articl say mr,1,1,2
18601,articl section claus,5,20,25
18602,articl section congress,1,2,3
18603,articl section constitut,11,11,22
18604,articl section say,3,2,5
18605,articl section unit,2,1,3
18606,articl today entitl,1,1,2
18607,articl today new,2,1,3
18608,articl today say,1,1,2
18609,articl today washington,2,5,7
18610,articl uniform code,3,1,4
18611,articl univers declar,1,1,2
18612,articl usa today,3,2,5
18613,articl wall street,5,6,11
18614,articl washington post,8,19,27
18615,articl washington time,3,8,11
18616,articl web site,1,1,2
18617,articl went say,1,2,3
18618,articl would like,1,1,2
18619,artifact forev leav,1,1,2
18620,artifact syria date,1,1,2
18621,artifici high price,1,2,3
18622,artifici inflat price,4,1,5
18623,artifici turf sport,1,1,2
18624,artilleri offic basic,1,1,2
18625,artilleri russian air,1,1,2
18626,artist histor monument,1,2,3
18627,artist talent paint,1,1,2
18628,asa hutchison former,1,1,2
18629,asad regim still,1,1,2
18630,asad regim use,7,2,9
18631,asad use chemic,6,8,14
18632,asad use weapon,1,2,3
18633,asbesto claim transpar,3,1,4
18634,asbesto trust fund,4,4,8
18635,asbesto trust system,1,2,3
18636,ascap american societi,1,1,2
18637,ascap membership grown,1,1,2
18638,ash coal ash,1,2,3
18639,ash hazard materi,1,4,5
18640,ash hazard wast,1,11,12
18641,ash heap histori,2,3,5
18642,ash would allow,1,1,2
18643,ashton carter secretari,2,1,3
18644,asia central south,1,1,2
18645,asia europ south,1,1,2
18646,asia latin america,6,2,8
18647,asia middl east,4,6,10
18648,asia mr speaker,2,1,3
18649,asia part world,1,1,2
18650,asia south america,5,2,7
18651,asia unit state,4,1,5
18652,asia vietnam war,2,1,3
18653,asian carp invas,4,1,5
18654,asian carp region,1,1,2
18655,asian carp work,1,1,2
18656,asian develop bank,1,2,3
18657,asian pacif affair,5,1,6
18658,asianamerican chamber commerc,4,1,5
18659,asiapacif econom cooper,3,1,4
18660,asiaticpacif campaign medal,2,6,8
18661,asid allow call,1,5,6
18662,asid call amend,4,6,10
18663,asid call senat,1,1,2
18664,asid come togeth,1,2,3
18665,asid differ find,3,1,4
18666,asid differ work,5,1,6
18667,asid enough money,1,1,2
18668,asid follow amend,3,5,8
18669,asid least percent,3,1,4
18670,asid may call,2,1,3
18671,asid order call,4,4,8
18672,asid partisan polit,7,1,8
18673,asid pend amend,44,49,93
18674,asid percent fund,1,1,2
18675,asid petti polit,1,1,2
18676,asid polit game,1,1,2
18677,asid right thing,2,1,3
18678,asid time stop,1,1,2
18679,asid work togeth,4,1,5
18680,asid work us,4,2,6
18681,ask accept voic,1,1,2
18682,ask act director,1,1,2
18683,ask addit minut,8,2,10
18684,ask addit second,1,1,2
18685,ask administr stop,1,1,2
18686,ask agre nt,1,1,2
18687,ask amend bill,1,1,2
18688,ask amend made,1,2,3
18689,ask amend modifi,1,1,2
18690,ask american peopl,9,30,39
18691,ask american taxpay,1,2,3
18692,ask anoth question,2,5,7
18693,ask answer question,2,2,4
18694,ask anyon els,1,1,2
18695,ask anyth nt,1,1,2
18696,ask anyth return,2,1,3
18697,ask anyth unreason,1,1,2
18698,ask appropri committe,1,1,2
18699,ask armi corp,2,2,4
18700,ask ask passag,1,1,2
18701,ask attorney gener,3,13,16
18702,ask averag american,1,1,2
18703,ask aye vote,7,2,9
18704,ask back home,1,2,3
18705,ask balanc budget,1,1,2
18706,ask basic question,5,3,8
18707,ask best way,1,1,2
18708,ask better partner,1,1,2
18709,ask bill read,9,2,11
18710,ask bill serv,1,1,2
18711,ask border secur,2,2,4
18712,ask bring bill,1,2,3
18713,ask bring budget,1,1,2
18714,ask busi owner,1,1,2
18715,ask ca nt,7,2,9
18716,ask chair close,1,1,2
18717,ask chair lay,11,2,13
18718,ask chair mani,1,1,2
18719,ask chair much,1,2,3
18720,ask chair senat,4,1,5
18721,ask chair senior,1,1,2
18722,ask chairman judiciari,1,1,2
18723,ask chairman rank,1,1,2
18724,ask chairman work,1,1,2
18725,ask chairwoman would,1,1,2
18726,ask chang name,1,1,2
18727,ask children grandchildren,1,1,2
18728,ask children make,2,1,3
18729,ask clerk report,10,1,11
18730,ask colleagu agre,2,1,3
18731,ask colleagu alabama,1,1,2
18732,ask colleagu american,12,1,13
18733,ask colleagu awar,1,1,2
18734,ask colleagu chair,2,2,4
18735,ask colleagu come,4,2,6
18736,ask colleagu congress,3,2,5
18737,ask colleagu consid,3,10,13
18738,ask colleagu coupl,2,1,3
18739,ask colleagu get,1,4,5
18740,ask colleagu heed,1,1,2
18741,ask colleagu help,3,3,6
18742,ask colleagu hous,36,4,40
18743,ask colleagu import,1,1,2
18744,ask colleagu join,1061,372,1433
18745,ask colleagu keep,2,1,3
18746,ask colleagu let,3,1,4
18747,ask colleagu look,1,2,3
18748,ask colleagu make,1,1,2
18749,ask colleagu mani,1,1,2
18750,ask colleagu mr,2,2,4
18751,ask colleagu nt,3,2,5
18752,ask colleagu oppos,12,6,18
18753,ask colleagu pay,1,1,2
18754,ask colleagu pleas,11,3,14
18755,ask colleagu question,1,2,3
18756,ask colleagu recogn,2,3,5
18757,ask colleagu reject,4,1,5
18758,ask colleagu republican,1,1,2
18759,ask colleagu respect,1,1,2
18760,ask colleagu say,1,1,2
18761,ask colleagu senat,8,6,14
18762,ask colleagu side,26,15,41
18763,ask colleagu staff,1,2,3
18764,ask colleagu stand,11,2,13
18765,ask colleagu support,43,74,117
18766,ask colleagu take,2,4,6
18767,ask colleagu talk,3,1,4
18768,ask colleagu think,10,5,15
18769,ask colleagu today,2,4,6
18770,ask colleagu us,29,3,32
18771,ask colleagu vote,20,28,48
18772,ask colleagu want,4,2,6
18773,ask colleagu work,3,1,4
18774,ask colleagu would,4,1,5
18775,ask come forward,1,1,2
18776,ask come work,3,1,4
18777,ask committe staff,1,1,2
18778,ask confer go,1,1,2
18779,ask confirm hear,2,1,3
18780,ask congress allow,1,1,2
18781,ask congress appropri,1,2,3
18782,ask congress approv,2,1,3
18783,ask congress ask,1,1,2
18784,ask congress author,1,1,2
18785,ask congress congress,1,4,5
18786,ask congress declar,2,1,3
18787,ask congress fix,1,1,2
18788,ask congress follow,1,1,2
18789,ask congress give,1,1,2
18790,ask congress help,2,2,4
18791,ask congress pass,3,2,5
18792,ask congress presid,3,2,5
18793,ask congress provid,2,1,3
18794,ask congression budget,1,8,9
18795,ask congression research,1,5,6
18796,ask consent follow,2,5,7
18797,ask consent letter,2,1,3
18798,ask consent order,1,1,2
18799,ask consent request,3,1,4
18800,ask consent senat,4,9,13
18801,ask consent speak,5,3,8
18802,ask consid bill,1,2,3
18803,ask continu work,2,1,3
18804,ask could come,1,1,2
18805,ask could help,1,2,3
18806,ask coupl question,2,4,6
18807,ask dear friend,1,2,3
18808,ask debt limit,1,3,4
18809,ask delay allow,1,1,2
18810,ask democrat major,1,1,2
18811,ask depart defens,1,1,2
18812,ask depart interior,1,1,2
18813,ask distinguish chair,1,1,2
18814,ask distinguish colleagu,80,56,136
18815,ask distinguish senat,2,5,7
18816,ask either sign,1,1,2
18817,ask elect offici,1,1,2
18818,ask esteem colleagu,2,7,9
18819,ask everi american,2,2,4
18820,ask everi person,1,1,2
18821,ask everyon join,1,1,2
18822,ask everyon pleas,1,1,2
18823,ask everyon support,1,2,3
18824,ask fair question,1,1,2
18825,ask feder agenc,1,1,2
18826,ask feder employe,2,1,3
18827,ask feder govern,2,7,9
18828,ask fellow member,1,3,4
18829,ask fellow senat,3,3,6
18830,ask financ committe,1,4,5
18831,ask first question,2,1,3
18832,ask first read,49,6,55
18833,ask follow question,2,3,5
18834,ask foot bill,3,1,4
18835,ask friend colleagu,2,5,7
18836,ask friend join,1,2,3
18837,ask friend listen,1,1,2
18838,ask friend major,5,1,6
18839,ask friend north,1,2,3
18840,ask friend senat,2,2,4
18841,ask friend side,6,5,11
18842,ask friend texa,2,4,6
18843,ask friend vermont,1,1,2
18844,ask friend would,2,1,3
18845,ask full senat,1,1,2
18846,ask fundament question,2,2,4
18847,ask futur said,1,1,2
18848,ask gao studi,1,1,2
18849,ask gentleman california,1,2,3
18850,ask gentleman gentleman,2,1,3
18851,ask gentleman pennsylvania,1,8,9
18852,ask gentleman question,1,2,3
18853,ask gentleman south,1,1,2
18854,ask gentleman understand,1,1,2
18855,ask gentleman word,1,1,2
18856,ask gentleman would,1,3,4
18857,ask give answer,1,1,2
18858,ask given permiss,172,24,196
18859,ask go back,3,2,5
18860,ask go confer,14,2,16
18861,ask go meet,1,1,2
18862,ask go poll,1,1,2
18863,ask go said,1,3,4
18864,ask god bless,2,12,14
18865,ask good america,1,1,2
18866,ask good friend,2,3,5
18867,ask govern account,4,8,12
18868,ask govern anyth,1,1,2
18869,ask govern open,1,1,2
18870,ask great question,1,1,2
