Top 100 republican and democrat bigrams and trigrams,,,,,,,,,,
bigram_democrat,bigram_r_freq,,bigram_republican,bigram_d_freq,,trigram_democrat,trigram_d_freq,,trigram_republican,trigram_r_freq
scout america,396,,laid upon,586,,mr presid move,214,,hous join congratul,121
religi freedom,396,,hear entitl,569,,yield back time,214,,speaker continu reserv,120
rais tax,392,,domest violenc,563,,immigr reform bill,212,,resolut ask immedi,116
tax increas,390,,republican budget,549,,follow prayer pledg,208,,like health care,114
follow senat,374,,dirksen senat,547,,equal divid control,208,,keep health care,112
rule pass,370,,unemploy benefit,538,,colleagu join honor,208,,mr speaker privileg,112
took offic,365,,econom develop,524,,senat ask unanim,206,,promis american peopl,110
muslim brotherhood,361,,equal divid,522,,journal proceed approv,205,,south carolina mr,110
includ extran,360,,head start,518,,time two leader,205,,demand record vote,109
food stamp,358,,speaker boehner,515,,resolut agre preambl,205,,would vote ye,108
remark includ,355,,senat pass,514,,proceed approv date,204,,unanim consent request,107
absent senat,354,,san francisco,511,,reserv use later,204,,delay employ mandat,107
,,,,,,,,,state south dakota,105
,,,,,,,,,mr speaker pursuant,105
,,,,,,,,,behalf unit state,104
,,,,,,,,,new budget author,103
,,,,,,,,,present vote senat,102
,,,,,,,,,new york mr,101
,,,,,,,,,pursuant hous resolut,100
,,,,,,,,,year fiscal year,99
,,,,,,,,,new health care,99
,,,,,,,,,ad end follow,96
,,,,,,,,,free syrian armi,96
,,,,,,,,,nation institut health,95
,,,,,,,,,congression district texa,95
,,,,,,,,,central valley project,95
,,,,,,,,,laid upon tabl,94
,,,,,,,,,fiscal year new,92
,,,,,,,,,keep govern open,92
,,,,,,,,,approv keyston xl,92
,,,,,,,,,year new budget,91
,,,,,,,,,author b outlay,90
,,,,,,,,,budget author b,90
,,,,,,,,,senat kansa mr,89
,,,,,,,,,fiscal year fiscal,87
,,,,,,,,,outlay fiscal year,86
,,,,,,,,,delay individu mandat,86
,,,,,,,,,health educ labor,86
,,,,,,,,,project mr speaker,85
,,,,,,,,,make point order,85
,,,,,,,,,yield minut gentlewoman,84
,,,,,,,,,senat tennesse mr,83
,,,,,,,,,senat texa mr,82
,,,,,,,,,patient protect afford,82
,,,,,,,,,b outlay fiscal,81
,,,,,,,,,foreign relat committe,81
,,,,,,,,,health care premium,80
,,,,,,,,,great state iowa,79
,,,,,,,,,live within mean,79
,,,,,,,,,mr speaker direct,79
,,,,,,,,,across state line,79
,,,,,,,,,balanc time move,78
,,,,,,,,,move previou question,78
,,,,,,,,,comprehens immigr reform,76
,,,,,,,,,yield back time,73
,,,,,,,,,broken immigr system,72
,,,,,,,,,florida mr rubio,72
,,,,,,,,,martin luther king,71
,,,,,,,,,later day date,71
,,,,,,,,,mr speaker profound,69
,,,,,,,,,busi leader year,69
,,,,,,,,,chief inform offic,69
,,,,,,,,,speaker thank chairman,69
,,,,,,,,,thank chairman yield,69
,,,,,,,,,chair gentleman texa,68
,,,,,,,,,make impact commun,68
,,,,,,,,,reserv point order,68
,,,,,,,,,law faith execut,68
,,,,,,,,,commun busi leader,68
,,,,,,,,,violenc women act,67
,,,,,,,,,particip polit process,67
,,,,,,,,,consent senat proceed,66
,,,,,,,,,colleagu join honor,66
,,,,,,,,,mr speaker purpos,66
,,,,,,,,,support rule underli,66
,,,,,,,,,debt limit increas,65
,,,,,,,,,senat offic build,64
,,,,,,,,,made laid upon,64
,,,,,,,,,senat judiciari committe,64
,,,,,,,,,presid took offic,64
,,,,,,,,,commun great state,64
,,,,,,,,,conduct hear entitl,63
,,,,,,,,,hous resolut call,63
,,,,,,,,,take care law,63
,,,,,,,,,care law faith,61
,,,,,,,,,committe homeland secur,60
,,,,,,,,,spend money nt,59
,,,,,,,,,day date enact,59
,,,,,,,,,bill print record,58
,,,,,,,,,text bill print,58
,,,,,,,,,unit state illeg,57
,,,,,,,,,consider clerk read,56
,,,,,,,,,kansa mr moran,56
,,,,,,,,,senat louisiana mr,56
,,,,,,,,,energi natur resourc,55
,,,,,,,,,obamacar web site,55
,,,,,,,,,interven action debat,53
,,,,,,,,,motion reconsid consid,52
,,,,,,,,,sincer thank appreci,52
,,,,,,,,,consid made laid,51
,,,,,,,,,reconsid consid made,51
,,,,,,,,,offic build conduct,46
,,,,,,,,,read third time,46
,,,,,,,,,rais minimum wage,45
,,,,,,,,,senat proceed consider,44
,,,,,,,,,luther king jr,44
,,,,,,,,,period morn busi,43
,,,,,,,,,dirksen senat offic,42
,,,,,,,,,agre motion reconsid,42
,,,,,,,,,put food tabl,42
,,,,,,,,,extend unemploy benefit,42
,,,,,,,,,senat permit speak,41
,,,,,,,,,colleagu join recogn,40
,,,,,,,,,mr presid move,40
,,,,,,,,,pass motion reconsid,40
,,,,,,,,,time pass motion,39
,,,,,,,,,tabl interven action,38
,,,,,,,,,upon tabl interven,38
,,,,,,,,,speaker yield gentleman,38
,,,,,,,,,immigr reform bill,37
,,,,,,,,,build conduct hear,36
,,,,,,,,,senat proceed vote,35
,,,,,,,,,increas minimum wage,35
,,,,,,,,,senat ask unanim,35
,,,,,,,,,morn busi senat,34
,,,,,,,,,center diseas control,34
,,,,,,,,,committe health educ,33
,,,,,,,,,motion reconsid laid,32
,,,,,,,,,student loan debt,31
,,,,,,,,,vote right act,31
,,,,,,,,,agre preambl agre,31
,,,,,,,,,preambl agre motion,31
,,,,,,,,,permit speak therein,31
,,,,,,,,,new york state,31
,,,,,,,,,fix broken immigr,31
,,,,,,,,,third time pass,31
,,,,,,,,,consent resolut agre,30
,,,,,,,,,unanim consent resolut,30
,,,,,,,,,equal divid control,30
,,,,,,,,,speak therein minut,30
,,,,,,,,,resolut agre preambl,29
,,,,,,,,,civil right movement,29
,,,,,,,,,committe foreign relat,29
,,,,,,,,,motion tabl motion,29
,,,,,,,,,presid offic know,29
,,,,,,,,,follow prayer pledg,28
,,,,,,,,,reconsid laid upon,28
,,,,,,,,,lay motion tabl,28
,,,,,,,,,tabl motion lay,28
,,,,,,,,,lay tabl agre,28
,,,,,,,,,motion lay tabl,28
,,,,,,,,,journal proceed approv,27
,,,,,,,,,time two leader,27
,,,,,,,,,proceed approv date,27
,,,,,,,,,reserv use later,27
,,,,,,,,,two leader reserv,27
,,,,,,,,,use later day,27
,,,,,,,,,approv date time,27
,,,,,,,,,date time two,27
,,,,,,,,,leader reserv use,27
,,,,,,,,,busi come senat,27
,,,,,,,,,come senat ask,27
,,,,,,,,,expir journal proceed,27
,,,,,,,,,hour deem expir,27
,,,,,,,,,morn hour deem,27
,,,,,,,,,deem expir journal,27
,,,,,,,,,pledg morn hour,27
,,,,,,,,,prayer pledg morn,27
,,,,,,,,,us district court,27
,,,,,,,,,debat equal divid,27
,,,,,,,,,homeland secur bill,27
,,,,,,,,,commun across countri,27
,,,,,,,,,complet busi today,26
,,,,,,,,,consent senat complet,26
,,,,,,,,,senat complet busi,26
,,,,,,,,,first african american,26
,,,,,,,,,senat foreign relat,26
,,,,,,,,,arm servic author,26
,,,,,,,,,affair author meet,25
,,,,,,,,,busi today adjourn,25
,,,,,,,,,adjourn previou order,25
,,,,,,,,,homeland secur government,25
,,,,,,,,,senat agricultur committe,25
,,,,,,,,,victim domest violenc,25
,,,,,,,,,senat period morn,24
,,,,,,,,,ask given permiss,24
,,,,,,,,,given permiss revis,24
,,,,,,,,,permiss revis extend,24
,,,,,,,,,busi senat permit,24
,,,,,,,,,servic author meet,24
,,,,,,,,,senat resum consider,23
,,,,,,,,,consent committe foreign,23
,,,,,,,,,head start program,23
,,,,,,,,,senat pass budget,23
,,,,,,,,,secur government affair,22
,,,,,,,,,full faith credit,22
,,,,,,,,,senat new jersey,22
,,,,,,,,,extend unemploy insur,22
,,,,,,,,,get back feet,22
,,,,,,,,,submit earlier today,22
,,,,,,,,,unanim consent time,21
,,,,,,,,,follow leader remark,20
,,,,,,,,,state new york,20
,,,,,,,,,leader remark senat,19
,,,,,,,,,russel senat offic,19
,,,,,,,,,consent bill read,19
,,,,,,,,,mr speaker unavoid,19
,,,,,,,,,mr presid busi,18
,,,,,,,,,roll call vote,18
,,,,,,,,,later day follow,17
,,,,,,,,,day follow leader,17
,,,,,,,,,women histori month,17
,,,,,,,,,presid busi come,17
,,,,,,,,,bank hous urban,17
,,,,,,,,,hous urban affair,17
,,,,,,,,,unanim consent bill,17
,,,,,,,,,land water conserv,17
,,,,,,,,,gentleman maryland mr,17
,,,,,,,,,repeal afford care,16
,,,,,,,,,hard work persever,16
,,,,,,,,,dr martin luther,16
,,,,,,,,,use yield back,16
,,,,,,,,,pay fair share,16
,,,,,,,,,gentlewoman california ms,15
,,,,,,,,,credit unit state,15
,,,,,,,,,earli childhood educ,15
,,,,,,,,,time senat proceed,15
,,,,,,,,,committe bank hous,15
,,,,,,,,,committe energi natur,14
,,,,,,,,,proceed period morn,14
,,,,,,,,,senat proceed period,14
,,,,,,,,,presid move proceed,14
,,,,,,,,,pass comprehens immigr,14
,,,,,,,,,motion invok clotur,14
,,,,,,,,,permit speak minut,13
,,,,,,,,,republican leader senat,13
,,,,,,,,,speaker demand record,13
,,,,,,,,,ye rollcal vote,13
,,,,,,,,,rise strong opposit,13
,,,,,,,,,committe discharg consider,13
,,,,,,,,,feder minimum wage,13
,,,,,,,,,yea rollcal vote,13
,,,,,,,,,consent committe bank,13
,,,,,,,,,time equal divid,12
,,,,,,,,,missionari baptist church,12
,,,,,,,,,foreign relat author,12
,,,,,,,,,consent committe judiciari,12
,,,,,,,,,committe intellig author,12
,,,,,,,,,intellig author meet,12
,,,,,,,,,back time senat,12
,,,,,,,,,senat recess pm,12
,,,,,,,,,unanim consent follow,12
,,,,,,,,,control first half,12
,,,,,,,,,paycheck fair act,11
,,,,,,,,,relat author meet,11
,,,,,,,,,faith credit unit,11
,,,,,,,,,follow morn busi,11
,,,,,,,,,rollcal would vote,11
,,,,,,,,,consent select committe,11
,,,,,,,,,employ nondiscrimin act,11
,,,,,,,,,unanim consent select,11
,,,,,,,,,million american famili,11
,,,,,,,,,san francisco bay,11
,,,,,,,,,congression black caucu,10
,,,,,,,,,clotur motion desk,10
,,,,,,,,,commun health center,10
,,,,,,,,,climat chang real,10
,,,,,,,,,unanim consent subcommitte,10
,,,,,,,,,go confer budget,10
,,,,,,,,,minut debat equal,10
,,,,,,,,,pm conduct hear,10
,,,,,,,,,western new york,9
,,,,,,,,,remark senat period,9
,,,,,,,,,extrem weather event,9
,,,,,,,,,home state senat,9
,,,,,,,,,hr would vote,9
,,,,,,,,,minimum wage hour,9
,,,,,,,,,work hard play,9
,,,,,,,,,consent committe health,9
,,,,,,,,,proceed execut session,8
,,,,,,,,,clean continu resolut,8
,,,,,,,,,government affair author,8
,,,,,,,,,equal pay act,8
,,,,,,,,,grant floor privileg,8
,,,,,,,,,consent committe homeland,8
,,,,,,,,,proceed consider calendar,8
,,,,,,,,,due second read,8
,,,,,,,,,labor pension author,8
,,,,,,,,,pension author meet,8
,,,,,,,,,lower interest rate,8
,,,,,,,,,amend read third,8
,,,,,,,,,execut session consid,7
,,,,,,,,,high school receiv,7
,,,,,,,,,committe judiciari author,7
,,,,,,,,,judiciari author meet,7
,,,,,,,,,hous republican leadership,7
,,,,,,,,,pm equal divid,7
,,,,,,,,,protect public health,7
,,,,,,,,,remark senat resum,7
,,,,,,,,,hard play rule,7
,,,,,,,,,send clotur motion,7
,,,,,,,,,senat proceed execut,6
,,,,,,,,,immedi notifi senat,6
,,,,,,,,,notifi senat action,6
,,,,,,,,,mr presid follow,6
,,,,,,,,,american disabl act,6
,,,,,,,,,consent mandatori quorum,6
,,,,,,,,,unanim consent mandatori,6
,,,,,,,,,senat action senat,6
,,,,,,,,,presid immedi notifi,6
,,,,,,,,,session senat june,6
,,,,,,,,,emerg unemploy insur,6
,,,,,,,,,part b amend,6
,,,,,,,,,sd226 dirksen senat,6
,,,,,,,,,upon use yield,6
,,,,,,,,,congression district georgia,6
,,,,,,,,,vote motion invok,6
,,,,,,,,,ask second read,6
,,,,,,,,,committe indian affair,6
,,,,,,,,,close tax loophol,6
,,,,,,,,,room sd226 dirksen,6
,,,,,,,,,hispan heritag month,5
,,,,,,,,,equal pay equal,5
,,,,,,,,,pay equal work,5
,,,,,,,,,sd366 dirksen senat,5
,,,,,,,,,black histori month,5
,,,,,,,,,room sd366 dirksen,5
,,,,,,,,,pm senat proceed,5
,,,,,,,,,time pm equal,5
,,,,,,,,,clean fund bill,5
,,,,,,,,,colleagu join commend,5
,,,,,,,,,govern pay bill,5
,,,,,,,,,grow middl class,5
,,,,,,,,,natur resourc author,5
,,,,,,,,,resourc author meet,5
,,,,,,,,,determin hard work,4
,,,,,,,,,unanim consent adjourn,4
,,,,,,,,,resum legisl session,4
,,,,,,,,,senat resum legisl,4
,,,,,,,,,action debat motion,4
,,,,,,,,,action senat resum,4
,,,,,,,,,vote previou question,4
,,,,,,,,,impact climat chang,4
,,,,,,,,,commun across state,4
,,,,,,,,,equal divid two,4
,,,,,,,,,rollcal vote motion,4
,,,,,,,,,pm senat permit,4
,,,,,,,,,jefferson high school,4
,,,,,,,,,care act work,4
,,,,,,,,,offic build pm,4
