"","X","trigram","trigram_d_freq","trigram_r_freq","trigram_total","chisq()"
"18917",18917,"ask member join",56,2,58,2.0480050611405e-05
"74044",74044,"kansa mr moran",2,56,58,2.0480050611405e-05
"90899",90899,"privat student loan",56,2,58,2.0480050611405e-05
"97574",97574,"senat louisiana mr",2,56,58,2.0480050611405e-05
"106605",106605,"unanim consent follow",80,12,92,2.04730925649746e-05
"74522",74522,"labor pension author",71,8,79,2.04651230452416e-05
"88141",88141,"pension author meet",71,8,79,2.04651230452416e-05
"111696",111696,"work hard play",73,9,82,2.03472094519019e-05
"27625",27625,"bill print record",163,58,221,2.03175481032574e-05
"94833",94833,"resum consider motion",58,3,61,2.02006549770634e-05
"47821",47821,"commun across countri",109,27,136,2.01381184896864e-05
"53971",53971,"control first half",79,12,91,2.0093805578532e-05
"77567",77567,"lower interest rate",70,8,78,2.00747275417122e-05
"90393",90393,"presid offic state",55,2,57,2.00746930655751e-05
"90376",90376,"presid offic know",112,29,141,1.9900524063706e-05
"69282",69282,"health human servic",188,350,538,1.98593216658776e-05
"96708",96708,"secretari homeland secur",48,145,193,1.98557362926323e-05
"87311",87311,"particip polit process",7,67,74,1.98168119240476e-05
"33208",33208,"build pm conduct",54,2,56,1.9669404938389e-05
"33981",33981,"busi pm senat",54,2,56,1.9669404938389e-05
"82338",82338,"mr speaker parliamentari",54,2,56,1.9669404938389e-05
"87873",87873,"patient protect afford",14,82,96,1.96199511187503e-05
"48086",48086,"commun great state",6,64,70,1.95759603603985e-05
"95472",95472,"room sd226 dirksen",64,6,70,1.95759603603985e-05
"51563",51563,"consent bill read",92,19,111,1.95553731640957e-05
"109512",109512,"wall street journal",150,296,446,1.94597099844868e-05
"68626",68626,"grow middl class",61,5,66,1.9355276130194e-05
"83389",83389,"natur resourc author",61,5,66,1.9355276130194e-05
"94664",94664,"resourc author meet",61,5,66,1.9355276130194e-05
"2291",2291,"across state line",13,79,92,1.9286503290015e-05
"113382",113382,"yea rollcal vote",79,13,92,1.9286503290015e-05
"49962",49962,"confirm motion reconsid",53,2,55,1.92641900706311e-05
"59121",59121,"defund afford care",53,2,55,1.92641900706311e-05
"79459",79459,"maryland mr hoyer",53,2,55,1.92641900706311e-05
"51578",51578,"consent committe health",70,9,79,1.91863751200161e-05
"101743",101743,"strengthen middl class",58,4,62,1.91586633591694e-05
"58557",58557,"debt limit increas",7,65,72,1.90321371603754e-05
"85815",85815,"obamacar web site",3,55,58,1.89911031732644e-05
"98526",98526,"servic author meet",100,24,124,1.89732602968209e-05
"51572",51572,"consent committe bank",78,13,91,1.89120803228553e-05
"65700",65700,"free syrian armi",22,96,118,1.89025799079982e-05
"69187",69187,"health care premium",14,80,94,1.88761060132868e-05
"63601",63601,"farm bill take",52,2,54,1.8859052587588e-05
"81123",81123,"minut time equal",52,2,54,1.8859052587588e-05
"99392",99392,"sincer thank appreci",2,52,54,1.8859052587588e-05
"66365",66365,"gentleman maryland mr",86,17,103,1.88281898895579e-05
"40364",40364,"chief inform offic",9,69,78,1.88004732440593e-05
"100343",100343,"speaker thank chairman",9,69,78,1.88004732440593e-05
"103887",103887,"thank chairman yield",9,69,78,1.88004732440593e-05
"107211",107211,"unit state illeg",4,57,61,1.8758228043164e-05
"52152",52152,"consider motion proceed",54,3,57,1.85882081393951e-05
"79002",79002,"mani commun across",54,3,57,1.85882081393951e-05
"106590",106590,"unanim consent bring",54,3,57,1.85882081393951e-05
"103831",103831,"text bill print",157,58,215,1.85660744124893e-05
"57873",57873,"day date enact",5,59,64,1.85599097605372e-05
"11645",11645,"amend read third",66,8,74,1.85177098090267e-05
"69277",69277,"health educ labor",200,86,286,1.8505214915265e-05
"82505",82505,"mr speaker unavoid",89,19,108,1.84806517534585e-05
"93548",93548,"reed rhode island",51,2,53,1.84539969258889e-05
"109396",109396,"vote without interven",51,2,53,1.84539969258889e-05
"17912",17912,"arm servic author",102,26,128,1.83802560480441e-05
"73752",73752,"join honor life",56,4,60,1.83580215258392e-05
"89518",89518,"pm conduct hear",70,10,80,1.83304166046013e-05
"97113",97113,"senat agricultur committe",100,25,125,1.83294084230136e-05
"108817",108817,"victim domest violenc",100,25,125,1.83294084230136e-05
"95995",95995,"san francisco bay",72,11,83,1.8261641255167e-05
"90694",90694,"prevent health care",53,3,56,1.81854705421496e-05
