"","X","bigram","bigram_d_freq","bigram_r_freq","bigram_total","chisq()"
"179788",179788,"feder govern",2065,2791,4856,9.24375476084376e-06
"292422",292422,"new haven",133,9,142,9.23278761831941e-06
"317978",317978,"promis american",11,138,149,9.22992592222574e-06
"71672",71672,"caucu meet",114,2,116,9.22059112758579e-06
"381050",381050,"water infrastructur",159,20,179,9.20344197373996e-06
"315666",315666,"proceed legisl",130,8,138,9.19642088417012e-06
"58192",58192,"border secur",389,737,1126,9.16829512347046e-06
"265529",265529,"legal immigr",67,252,319,9.14767925390455e-06
"218695",218695,"harri reid",96,302,398,9.09077159276475e-06
"204368",204368,"given permiss",173,27,200,9.08755582537434e-06
"297751",297751,"oklahoma mr",18,153,171,9.0875334902234e-06
"181306",181306,"fifth amend",7,126,133,9.07864640172702e-06
"131185",131185,"democrat colleagu",67,251,318,9.07751116758533e-06
"732",732,"abl keep",50,219,269,9.05283988293169e-06
"287238",287238,"motion proceed",351,126,477,9.04872224078416e-06
"279816",279816,"mateo counti",109,1,110,9.04141077122138e-06
"206866",206866,"god bless",106,318,424,9.03758414899579e-06
"257572",257572,"keep govern",449,189,638,9.03334774243757e-06
"140394",140394,"diseas control",189,35,224,9.02738849489045e-06
"348282",348282,"social justic",138,12,150,9.02457507258557e-06
"36088",36088,"ask given",176,29,205,8.98776334969814e-06
"350102",350102,"speaker behalf",29,176,205,8.98776334969814e-06
"325606",325606,"record presid",130,9,139,8.98119432652627e-06
"378716",378716,"vote confirm",244,64,308,8.96919922192208e-06
"123485",123485,"day within",2,111,113,8.96510940757435e-06
"355600",355600,"straw purchas",149,17,166,8.94983291758666e-06
"274812",274812,"madam chairman",98,303,401,8.93536697564596e-06
"196476",196476,"full particip",116,4,120,8.91322896946441e-06
"321843",321843,"quorum rule",110,2,112,8.8799524642147e-06
"318999",318999,"protect public",189,36,225,8.87092570238484e-06
"314665",314665,"print record",628,315,943,8.85657499296462e-06
"42876",42876,"b outlay",288,90,378,8.84280769093104e-06
"215278",215278,"guest worker",15,143,158,8.84176350452516e-06
"341432",341432,"senat collin",218,51,269,8.83983934368832e-06
"292370",292370,"new england",216,50,266,8.83280377793556e-06
"257405",257405,"kansa mr",3,112,115,8.8091899543222e-06
"179834",179834,"feder land",170,416,586,8.80442680991337e-06
"141513",141513,"district georgia",186,35,221,8.79692042891321e-06
"123741",123741,"de moin",42,200,242,8.795600950763e-06
"389773",389773,"ye rollcal",167,26,193,8.78320602272178e-06
"243925",243925,"infrastructur invest",117,5,122,8.76710597625993e-06
"4512",4512,"across america",468,205,673,8.76224224189444e-06
"357811",357811,"superstorm sandi",171,28,199,8.76174249989952e-06
"271805",271805,"local economi",250,69,319,8.75638042475287e-06
"40090",40090,"author b",288,91,379,8.73061286107381e-06
"226537",226537,"home state",1018,610,1628,8.71522547270643e-06
"321840",321840,"quorum call",1101,675,1776,8.70908422507652e-06
