"","X","bigram","bigram_d_freq","bigram_r_freq","bigram_total","chisq()"
"344462",344462,"session consid",291,7,298,2.30770825671957e-05
"266254",266254,"legisl session",318,17,335,2.30592172628638e-05
"161417",161417,"equal divid",522,110,632,2.28981677222562e-05
"256252",256252,"join recogn",511,105,616,2.28137412265002e-05
"289568",289568,"nation debt",146,587,733,2.26196229014413e-05
"102703",102703,"consid made",393,52,445,2.22788568274215e-05
"209937",209937,"govern shutdown",1054,431,1485,2.22781043067329e-05
"233867",233867,"illeg alien",3,269,272,2.21798061330176e-05
"275083",275083,"made laid",422,66,488,2.21421379364628e-05
"325452",325452,"reconsid consid",390,53,443,2.18574983001196e-05
"131476",131476,"democrat republican",869,318,1187,2.18028962178616e-05
"17974",17974,"al qaeda",124,529,653,2.14149916884936e-05
"342051",342051,"senat republican",600,163,763,2.13376780815805e-05
"305824",305824,"peopl disabl",307,21,328,2.12625514425908e-05
"271547",271547,"loan debt",341,37,378,2.0845243229392e-05
"157146",157146,"energi effici",635,189,824,2.05799611464313e-05
"329746",329746,"republican friend",291,18,309,2.05648753009236e-05
"44641",44641,"balanc time",2197,3353,5550,2.05021476140803e-05
"328557",328557,"repeal afford",286,17,303,2.03620670825079e-05
"175745",175745,"fairfax counti",256,6,262,2.03396377388439e-05
"387061",387061,"work togeth",1825,1004,2829,2.03017082670087e-05
"386405",386405,"work famili",609,180,789,1.98858205004104e-05
"267152",267152,"let us",835,317,1152,1.98551255904913e-05
"205133",205133,"go confer",629,192,821,1.98299717244806e-05
"157673",157673,"enforc law",129,512,641,1.95102078785276e-05
"304798",304798,"pay bill",594,176,770,1.93450511915846e-05
"335240",335240,"rule law",222,669,891,1.9117537127669e-05
"188970",188970,"follow leader",283,22,305,1.90432419598726e-05
"385484",385484,"women health",283,22,305,1.90432419598726e-05
"53612",53612,"bill hr",148,540,688,1.9041486621443e-05
"368807",368807,"took offic",59,365,424,1.88288365382558e-05
"69252",69252,"care plan",94,436,530,1.88152959564115e-05
"198235",198235,"futur accomplish",223,1,224,1.87597324414817e-05
"263699",263699,"leader remark",286,26,312,1.84735786704062e-05
"219379",219379,"health center",263,17,280,1.84278500895157e-05
"307639",307639,"permit speak",339,50,389,1.83061266062841e-05
"313631",313631,"presid promis",5,228,233,1.81979100738082e-05
"341511",341511,"senat democrat",190,600,790,1.81403826941274e-05
"230152",230152,"hous republican",992,440,1432,1.81371740490253e-05
"7914",7914,"ad debt",6,230,236,1.81280633386702e-05
"169189",169189,"exhibit dedic",221,3,224,1.80897963750706e-05
"341951",341951,"senat permit",326,46,372,1.79690612498565e-05
"361594",361594,"tax increas",77,390,467,1.78860115037706e-05
"373259",373259,"unemploy benefit",538,158,696,1.76878163699214e-05
"315697",315697,"proceed vote",329,49,378,1.76838109113609e-05
"350484",350484,"speaker rise",4017,2828,6845,1.75801623192932e-05
"44016",44016,"background check",589,190,779,1.74226967906647e-05
"330773",330773,"reserv balanc",963,1701,2664,1.74211195073873e-05
"156321",156321,"end hunger",218,5,223,1.73469515048809e-05
"356307",356307,"student debt",237,12,249,1.73353103461033e-05
"64317",64317,"busi senat",346,60,406,1.71772849986256e-05
"284730",284730,"million american",1701,970,2671,1.7047380102325e-05
"15822",15822,"agre motion",305,42,347,1.69956221038804e-05
"322132",322132,"rais tax",84,392,476,1.69916358287843e-05
"64253",64253,"busi record",7,219,226,1.69563264798558e-05
"304759",304759,"paus recogn",3,207,210,1.68970661767366e-05
"312658",312658,"preexist condit",498,142,640,1.68827236411794e-05
"339032",339032,"scout earn",2,203,205,1.68038607566826e-05
"149620",149620,"educ develop",217,8,225,1.65530738436444e-05
"101958",101958,"consent request",450,118,568,1.65446780723524e-05
"369957",369957,"train wreck",10,222,232,1.65177754415402e-05
"329895",329895,"republican senat",508,151,659,1.64881297352204e-05
"303806",303806,"pass clean",218,9,227,1.64072233887563e-05
"321948",321948,"radic islamist",4,204,208,1.63971037055074e-05
"276867",276867,"make sure",3272,2242,5514,1.63828087930061e-05
"127718",127718,"dedic demonstr",195,1,196,1.6372658701492e-05
"349663",349663,"south carolina",265,694,959,1.63599895276169e-05
"313839",313839,"presid unit",337,805,1142,1.63490420754797e-05
"189132",189132,"follow senat",80,374,454,1.62323711263756e-05
"38983",38983,"attain hard",192,1,193,1.61169025157142e-05
"258308",258308,"kill american",24,252,276,1.6059186587684e-05
"361623",361623,"tax loophol",227,14,241,1.60512546584922e-05
"301802",301802,"overcom advers",197,3,200,1.60451891088285e-05
"276397",276397,"make educ",208,7,215,1.60222448497494e-05
"263412",263412,"leader designe",251,24,275,1.59765154533605e-05
"319278",319278,"proudli ask",3,196,199,1.59600052021496e-05
"376954",376954,"ve ad",3,196,199,1.59600052021496e-05
"223438",223438,"higher educ",694,270,964,1.5897951503164e-05
"83722",83722,"clean energi",280,37,317,1.58822366161215e-05
"270908",270908,"live extend",192,2,194,1.58663676885854e-05
"267615",267615,"level rise",189,1,190,1.58611467915141e-05
"62259",62259,"build conduct",299,46,345,1.58189339722787e-05
"128454",128454,"defeat previou",191,2,193,1.57811429172398e-05
"219376",219376,"health care",4640,6047,10687,1.57520627118789e-05
"135090",135090,"determin hard",196,4,200,1.57160657696847e-05
"305147",305147,"paycheck fair",233,18,251,1.57025038318641e-05
"172013",172013,"extend deepest",335,64,399,1.56933244085623e-05
"183907",183907,"finest qualiti",1,187,188,1.56906432520066e-05
"4546",4546,"across countri",2001,1230,3231,1.56749558554048e-05
"333379",333379,"right act",410,103,513,1.56637587694375e-05
"147444",147444,"earn prestigi",3,192,195,1.56192770497696e-05
"148626",148626,"economi children",3,192,195,1.56192770497696e-05
